architecture,split,bit,scope_type,scope_value,ambiguous_excluded_from_split,records,positives,negatives,auroc,auprc,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,true_positive,true_negative,false_positive,false_negative
polar,train,read_off,layer,12,99,45,17,28,0.9002100840336135,0.8560724920950746,0.7777777777777778,0.717436974789916,0.8888888888888888,0.47058823529411764,0.6153846153846153,0.03571428571428571,0.5294117647058824,8,27,1,9
polar,train,read_off,layer,13,99,40,11,29,0.8636363636363636,0.8338269917217285,0.825,0.6818181818181819,1.0,0.36363636363636365,0.5333333333333333,0.0,0.6363636363636364,4,29,0,7
polar,train,read_off,layer,14,99,42,16,26,0.9591346153846154,0.9616851478494624,0.9047619047619048,0.875,1.0,0.75,0.8571428571428571,0.0,0.25,12,26,0,4
polar,train,read_off,layer,15,99,41,12,29,0.882183908045977,0.7299512987012986,0.8048780487804879,0.6910919540229885,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.034482758620689655,0.5833333333333334,5,28,1,7
polar,train,read_off,layer,16,99,48,18,30,0.8972222222222223,0.8094195247381523,0.875,0.8777777777777778,0.8,0.8888888888888888,0.8421052631578948,0.13333333333333333,0.1111111111111111,16,26,4,2
polar,train,read_off,layer,17,99,33,9,24,0.9722222222222222,0.9479717813051146,0.9090909090909091,0.8680555555555556,0.875,0.7777777777777778,0.823529411764706,0.041666666666666664,0.2222222222222222,7,23,1,2
polar,train,read_off,layer,18,99,21,4,17,0.9117647058823529,0.6083333333333333,0.8095238095238095,0.5955882352941176,0.5,0.25,0.3333333333333333,0.058823529411764705,0.75,1,16,1,3
polar,train,read_off,layer,19,99,35,17,18,0.9199346405228758,0.9266545545957312,0.8,0.7973856209150327,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.1111111111111111,0.29411764705882354,12,16,2,5
polar,train,read_off,layer,20,99,27,5,22,0.9,0.8625,0.9259259259259259,0.8,1.0,0.6,0.7499999999999999,0.0,0.4,3,22,0,2
polar,train,read_off,layer,21,99,26,9,17,0.7124183006535948,0.6992527615334633,0.8076923076923077,0.7483660130718954,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.058823529411764705,0.4444444444444444,5,16,1,4
polar,train,read_off,layer,22,99,29,11,18,0.9191919191919192,0.8655289155289155,0.8275862068965517,0.8257575757575758,0.75,0.8181818181818182,0.7826086956521738,0.16666666666666666,0.18181818181818182,9,15,3,2
polar,train,read_off,layer,23,99,51,22,29,0.8385579937304075,0.712261284405878,0.7647058823529411,0.7492163009404389,0.7777777777777778,0.6363636363636364,0.7000000000000001,0.13793103448275862,0.36363636363636365,14,25,4,8
polar,train,read_off,layer,24,99,39,9,30,0.9574074074074074,0.7681488264821598,0.9230769230769231,0.9111111111111111,0.8,0.8888888888888888,0.8421052631578948,0.06666666666666667,0.1111111111111111,8,28,2,1
polar,train,read_off,layer,25,99,26,3,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3,23,0,0
polar,train,read_off,layer,26,99,40,11,29,0.9184952978056427,0.8797914207005116,0.875,0.8009404388714734,0.875,0.6363636363636364,0.7368421052631579,0.034482758620689655,0.36363636363636365,7,28,1,4
polar,train,read_off,layer,27,99,16,8,8,0.78125,0.866117216117216,0.5625,0.5625,1.0,0.125,0.2222222222222222,0.0,0.875,1,8,0,7
polar,train,write_off,overall,all,109,915,275,640,0.9467897727272727,0.8841498497897695,0.8786885245901639,0.8158096590909091,0.9141414141414141,0.6581818181818182,0.7653276955602537,0.0265625,0.3418181818181818,181,623,17,94
polar,train,write_off,dataset,gqa,109,303,89,214,0.9589940144912318,0.9023723677076273,0.9174917491749175,0.8759582064475481,0.9324324324324325,0.7752808988764045,0.8466257668711658,0.02336448598130841,0.2247191011235955,69,209,5,20
polar,train,write_off,dataset,chartqa,109,306,92,214,0.9134244209670865,0.7898355516760742,0.8333333333333334,0.750711093051605,0.847457627118644,0.5434782608695652,0.662251655629139,0.04205607476635514,0.45652173913043476,50,205,9,42
polar,train,write_off,dataset,textvqa,109,306,94,212,0.9593787635487756,0.9337266457321883,0.8856209150326797,0.82271176234444,0.9538461538461539,0.6595744680851063,0.7798742138364779,0.014150943396226415,0.3404255319148936,62,209,3,32
polar,train,write_off,depth,early,109,313,101,212,0.9757379039790771,0.9438378851244892,0.9265175718849841,0.9042826452456566,0.9239130434782609,0.8415841584158416,0.8808290155440415,0.0330188679245283,0.15841584158415842,85,205,7,16
polar,train,write_off,depth,middle,109,321,93,228,0.9210290511224297,0.8244477751666558,0.838006230529595,0.7458970005659309,0.8596491228070176,0.5268817204301075,0.6533333333333333,0.03508771929824561,0.4731182795698925,49,220,8,44
polar,train,write_off,depth,late,109,281,81,200,0.9407407407407408,0.8671061118524925,0.8718861209964412,0.7851234567901235,0.9591836734693877,0.5802469135802469,0.7230769230769232,0.01,0.41975308641975306,47,198,2,34
polar,train,write_off,layer,0,109,45,22,23,1.0,1.0,0.9555555555555556,0.9565217391304348,0.9166666666666666,1.0,0.9565217391304348,0.08695652173913043,0.0,22,21,2,0
polar,train,write_off,layer,1,109,38,11,27,0.9966329966329966,0.9924242424242424,0.9210526315789473,0.8636363636363636,1.0,0.7272727272727273,0.8421052631578948,0.0,0.2727272727272727,8,27,0,3
polar,train,write_off,layer,2,109,24,8,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8,16,0,0
polar,train,write_off,layer,3,109,24,8,16,1.0,1.0,0.9583333333333334,0.9375,1.0,0.875,0.9333333333333333,0.0,0.125,7,16,0,1
polar,train,write_off,layer,4,109,35,8,27,0.9606481481481481,0.8552579365079365,0.8857142857142857,0.837962962962963,0.75,0.75,0.75,0.07407407407407407,0.25,6,25,2,2
polar,train,write_off,layer,5,109,15,7,8,0.9107142857142857,0.8736394557823128,0.6666666666666666,0.6517857142857143,0.75,0.42857142857142855,0.5454545454545454,0.125,0.5714285714285714,3,7,1,4
polar,train,write_off,layer,6,109,36,14,22,0.9301948051948052,0.8432291914434772,0.8888888888888888,0.8831168831168831,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.09090909090909091,0.14285714285714285,12,20,2,2
polar,train,write_off,layer,7,109,39,11,28,0.9886363636363636,0.9722550177095632,0.9487179487179487,0.9090909090909092,1.0,0.8181818181818182,0.9,0.0,0.18181818181818182,9,28,0,2
polar,train,write_off,layer,8,109,25,7,18,0.9603174603174603,0.9214285714285715,0.92,0.8571428571428572,1.0,0.7142857142857143,0.8333333333333333,0.0,0.2857142857142857,5,18,0,2
polar,train,write_off,layer,9,109,32,5,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5,27,0,0
polar,train,write_off,layer,10,109,26,10,16,0.81875,0.6832856032856033,0.7307692307692307,0.6875,0.7142857142857143,0.5,0.588235294117647,0.125,0.5,5,14,2,5
polar,train,write_off,layer,11,109,35,11,24,0.9109848484848485,0.8492893329580637,0.8285714285714286,0.7518939393939394,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.041666666666666664,0.45454545454545453,6,23,1,5
polar,train,write_off,layer,12,109,43,9,34,0.9199346405228758,0.7019901394901394,0.813953488372093,0.6372549019607843,0.6,0.3333333333333333,0.42857142857142855,0.058823529411764705,0.6666666666666666,3,32,2,6
polar,train,write_off,layer,13,109,40,14,26,0.8942307692307693,0.8292688340620671,0.75,0.6593406593406593,0.8333333333333334,0.35714285714285715,0.5,0.038461538461538464,0.6428571428571429,5,25,1,9
