architecture,split,scope_type,scope_value,records,positives,negatives,auroc,auprc,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,true_positive,true_negative,false_positive,false_negative
online,validation,layer,15,12,6,6,0.5555555555555556,0.7407407407407407,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.5,0.0,0.6666666666666666,2,6,0,4
online,validation,layer,16,14,7,7,0.6326530612244898,0.704421768707483,0.7142857142857143,0.7142857142857142,0.8,0.5714285714285714,0.6666666666666666,0.14285714285714285,0.42857142857142855,4,6,1,3
online,validation,layer,17,4,2,2,0.5,0.75,0.75,0.75,1.0,0.5,0.6666666666666666,0.0,0.5,1,2,0,1
online,validation,layer,18,10,5,5,0.36,0.5634920634920635,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,5,0,5
online,validation,layer,19,8,4,4,0.5,0.7321428571428571,0.625,0.625,1.0,0.25,0.4,0.0,0.75,1,4,0,3
online,validation,layer,20,6,3,3,0.1111111111111111,0.4111111111111111,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,3,0,3
online,validation,layer,21,10,5,5,0.4,0.5857142857142857,0.6,0.6,1.0,0.2,0.33333333333333337,0.0,0.8,1,5,0,4
online,validation,layer,22,6,3,3,0.7777777777777778,0.8666666666666667,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.5,0.0,0.6666666666666666,1,3,0,2
online,validation,layer,23,12,6,6,0.6388888888888888,0.7342592592592593,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.5,0.0,0.6666666666666666,2,6,0,4
online,validation,layer,24,8,4,4,0.5,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,4,0,4
online,validation,layer,25,10,5,5,0.52,0.7088888888888889,0.6,0.6,1.0,0.2,0.33333333333333337,0.0,0.8,1,5,0,4
online,validation,layer,26,10,5,5,0.56,0.5976190476190476,0.4,0.4,0.0,0.0,0.0,0.2,1.0,0,4,1,5
online,validation,layer,27,4,2,2,0.5,0.75,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0,2,0,2
